HEMPSTEAD RD @ W 11TH ST,S6534,-95.442711,29.788611,6,Ho414_4620_36034,Ho414_4620_36034_0
HEMPSTEAD RD @ W 11TH ST MB,S6535,-95.440643,29.787499,7,Ho414_4620_36034,Ho414_4620_36034_0
HEMPSTEAD RD @ KANSAS ST,S6536,-95.438238,29.786107,8,Ho414_4620_36034,Ho414_4620_36034_0
KANSAS ST @ EUREKA,S6537,-95.436454,29.784298,9,Ho414_4620_36034,Ho414_4620_36034_0
KANSAS ST @ MAXROY ST,S6538,-95.43128,29.781847,10,Ho414_4620_36034,Ho414_4620_36034_0
KANSAS ST @ SHERWIN ST,S6539,-95.428537,29.781881,11,Ho414_4620_36034,Ho414_4620_36034_0
KANSAS ST @ SHERWIN ST,S6540,-95.426719,29.781901,12,Ho414_4620_36034,Ho414_4620_36034_0
MANGUM RD @ W 18TH ST,S8423,-95.45881,29.801811,2,Ho414_4620_36034,Ho414_4620_36034_0
HEMPSTEAD RD @ W LOOP N,S8896,-95.45121,29.794814,4,Ho414_4620_36034,Ho414_4620_36034_0
HEMPSTEAD RD @ W 18TH ST,S8897,-95.45923,29.801027,30,Ho414_4620_36034,Ho414_4620_36034_1
FONDREN RD @ MOONMIST DR,S10413,-95.52122,29.711153,39,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ E HAMPTON CIR,S10935,-95.507788,29.631841,5,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN DR @ W OREM DR,S11585,-95.507494,29.625032,53,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN DR @ W OREM DR,S11601,-95.50726,29.624635,2,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ CREEKBEND DR,S12057,-95.508658,29.664731,37,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ RICHMOND AVE,S12580,-95.52063,29.729589,7,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ CLARKCREST ST,S12581,-95.520403,29.732715,49,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ CLARKCREST ST,S12582,-95.520683,29.733234,6,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ WESTHEIMER RD,S12583,-95.52102,29.737178,50,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ WESTHEIMER RD,S12584,-95.521245,29.736475,5,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ WOODWAY DR,S12585,-95.5212,29.73961,51,Ho414_4620_36027,Ho414_4620_36027_0
WOODWAY DR @ LAZY HOLLOW DR,S12586,-95.517554,29.741125,52,Ho414_4620_36027,Ho414_4620_36027_0
